Rank,Company Name,3-Year % Growth,Revenue,Industry,# of Employees,City,State
1, Northern Capital Insurance, 19812%, $95 million, Insurance, 79, Miami, FL
2, National Retirement Partners, 13416%, $47.4 million, Financial Services, 165, San Juan Capistrano, CA
3, Harley Stanfield, 13350%, $38.4 million, Real Estate, 22, Washington, DC
4, INE, 12749%, $63.5 million, IT Services, 20, Bellevue, WA
5, IntegraClick, 12654%, $96.4 million, Advertising & Marketing, 55, Sarasota, FL
6, Kiva Systems, 10399%, $21.4 million, Logistics & Transportation, 120, Woburn, MA
7, Freedom Health, 10035%, $182.8 million, Insurance, 231, Tampa, FL
8, One Technologies, 9946%, $50.7 million, Advertising & Marketing, 89, Dallas, TX
9, MediaTrust, 9481%, $38.3 million, Advertising & Marketing, 60, New York, NY
10, Criterion Systems, 8434%, $20.3 million, Government Services, 110, Vienna, VA
11, ProKarma, 8311%, $47.3 million, IT Services, 662, Beaverton, OR
12, Canopy Financial, 7929%, $19.8 million, Software, 84, San Francisco, CA
13, MedVantx, 7899%, $36.6 million, Health, 118, San Diego, CA
14, Skullcandy, 6252%, $85.5 million, Consumer Products & Services, 56, Park City, UT
15, Centuria, 5969%, $21 million, Government Services, 106, Reston, VA
16, Snap Fitness, 5907%, $31.7 million, Health, 37, Chanhassen, MN
17, P3S, 5898%, $13.5 million, Government Services, 221, San Antonio, TX
18, MonaVie, 5883%, $854.9 million, Food & Beverage, 450, South Jordan, UT
19, ITA International, 5779%, $12 million, Government Services, 86, Yorktown, VA
20, Working Media Group, 4782%, $12.3 million, Advertising & Marketing, 14, New York, NY
21, Blue Entertainment Sports Television, 4685%, $22.9 million, Media, 80, Louisville, KY
22, vAuto, 4660%, $15.6 million, Software, 61, Oak Brook, IL
23, BancVue, 4646%, $21.9 million, Financial Services, 164, Austin, TX
24, InsuranceAgents.com, 4582%, $11.8 million, Insurance, 35, Columbus, OH
25, Ahura Scientific, 4565%, $46.2 million, Security, 148, Wilmington, MA
26, Ruckus Wireless, 4540%, $32.9 million, Telecommunications, 143, Sunnyvale, CA
27, SDV Solutions, 4346%, $11.1 million, Government Services, 32, Williamsburg, VA
28, SFP, 4321%, $33.4 million, Manufacturing, 24, Leawood, KS
29, iCore Networks, 3924%, $17 million, Telecommunications, 60, McLean, VA
30, StarTex Power, 3794%, $187.5 million, Energy, 64, Houston, TX
31, FedStore, 3749%, $28.6 million, Government Services, 15, Rockville, MD
32, ID Experts, 3633%, $8.2 million, Security, 33, Portland, OR
33, ARK Solutions, 3537%, $8.6 million, IT Services, 19, Chantilly, VA
34, Revel Consulting, 3531%, $13.2 million, Business Products & Services, 37, Kirkland, WA
35, Quidsi, 3474%, $89.4 million, Retail, 89, Jersey City, NJ
36, ICS, 3431%, $7.4 million, Government Services, 100, Vienna, VA
37, GourmetGiftBaskets.com, 3260%, $8.5 million, Food & Beverage, 41, Londonderry, NH
38, Oil Chem Technologies, 3252%, $10.4 million, Energy, 5, Sugar Land, TX
39, ReachLocal, 3217%, $146.8 million, Advertising & Marketing, 707, Woodland Hills, CA
40, mSpot, 3189%, $14.5 million, Consumer Products & Services, 57, Palo Alto, CA
41, Xtreme Consulting Group, 3092%, $21.5 million, Business Products & Services, 185, Kirkland, WA
42, Nutricap Labs, 2900%, $16.3 million, Health, 40, Farmingdale, NY
43, FTEN, 2864%, $12.1 million, Software, 55, New York, NY
44, Enalasys, 2814%, $25.9 million, Energy, 42, Calexico, CA
45, Mainstay Technologies, 2751%, $22.6 million, IT Services, 49, Laconia, NH
46, Royal Buying Group, 2748%, $167.4 million, Business Products & Services, 42, Lisle, IL
47, Service Financial, 2706%, $19.9 million, Financial Services, 3, Whitefish Bay, WI
48, Aqua Superstore, 2695%, $7.5 million, Retail, 35, Port Charlotte, FL
49, Echo Global Logistics, 2667%, $202.6 million, Logistics & Transportation, 593, Chicago, IL
50, Bridgepoint Education, 2645%, $218.3 million, Education, 2971, San Diego, CA
51, Direct Exteriors, 2559%, $5.4 million, Construction, 20, Maple Grove, MN
52, Mission Essential Personnel, 2538%, $178.3 million, Government Services, 1412, Columbus, OH
53, Clear Harbor, 2470%, $9.7 million, Consumer Products & Services, 556, Alpharetta, GA
54, Broadnet Teleservices, 2358%, $7.8 million, Software, 22, Highlands Ranch, CO
55, EffectiveUI, 2334%, $13.8 million, Software, 91, Denver, CO
56, Namaste Solar Electric, 2243%, $14.5 million, Energy, 52, Boulder, CO
57, ReSource Pro, 2240%, $6.9 million, Business Products & Services, 419, New York, NY
58, Allegiance, 2236%, $5.9 million, Software, 86, South Jordan, UT
59, Hardwire, 2235%, $124 million, Government Services, 48, Pocomoke City, MD
60, Clarisonic, 2197%, $40.1 million, Consumer Products & Services, 135, Bellevue, WA
61, International Checkout, 2191%, $7.2 million, Logistics & Transportation, 19, Van Nuys, CA
62, DeviceAnywhere, 2104%, $14.6 million, Telecommunications, 160, San Mateo, CA
63, Sirsai, 2077%, $8.3 million, Business Products & Services, 174, Redmond, WA
64, Workway, 2058%, $75.9 million, Human Resources, 85, Glendale, CA
65, Lifematters, 2051%, $4.8 million, Health, 150, Bethesda, MD
66, StoreBoard Media, 2026%, $4.7 million, Advertising & Marketing, 9, New York, NY
67, iSeatz, 1984%, $27.8 million, Travel, 20, New Orleans, LA
68, 1 Source Consulting, 1971%, $196.3 million, IT Services, 346, Washington, DC
69, Radiation Technical Services, 1957%, $9.5 million, Environmental Services, 45, New Orleans, LA
